target,feature,weight
y,00,296.18240490942117
y,milano,294.8578850330141
y,plinio,294.8578850330141
y,cadeiras,292.65546275848465
y,privativa,292.0904495306386
y,opcoes,291.4368951638171
y,arena,288.1024034820074
y,shoping,287.49754673389725
y,transporte,286.65761425279925
y,banheiros,285.1315410745301
y,guardar,284.4822088384535
y,12,283.94850289400347
y,05,280.3132516555852
y,cooktop,278.12468158052616
y,aberto,277.8964936909906
y,conceito,277.8964936909906
y,boa,271.46688969037496
y,santana,270.8905922612612
y,lavabo,266.0775220975738
y,laminado,263.31547016895274
y,banheiro,261.4828339385567
y,redencao,256.3610951264709
y,porcelanato,254.38436681604844
y,kubitschek,251.48673998578306
y,juscelino,251.48673998578306
y,higienopolis,249.82250813848805
y,105,248.4951216496902
y,bourbon,248.20073777281505
y,util,247.39762639866967
y,taboao,247.21229103208367
y,juca,243.09797992680978
y,batista,243.09797992680978
y,fernando,242.4864927113813
y,zelador,237.75540097924386
y,bancos,236.358618715356
y,superti,232.9626246099624
y,atilio,232.9626246099624
y,nilopolis,232.718730728011
y,120,232.59007998092784
y,mucio,228.22971945748577
y,teixeira,228.22971945748577
y,lavado,226.02720916311955
y,completamente,225.77092483888555
y,grande,224.22935157478787
y,esquina,222.78434560792766
y,general,214.87036027683644
y,imediacoes,213.92913426400992
y,gourmet,212.18357384591945
y,sushi,210.14396105986089
y,machado,208.11130243679509
y,la,206.3113288792665
y,sacada,203.16243139960352
y,deus,199.27684225865232
y,sala,195.22997196585493
y,barros,194.6203911232733
y,cassal,194.6203911232733
y,minutos,194.20828914194135
y,mobiliado,193.6502435126058
y,hidro,193.39724149223497
y,lima,192.5703380681698
y,edvaldo,192.44601962243905
y,paiva,192.44601962243905
y,geraldo,190.75221869939196
y,lazer,188.74317592227817
y,rocha,186.4110999381519
y,silva,184.8577735980216
y,ipiranga,184.64621662606078
y,balcao,184.58677464575158
y,nonoai,183.32746328033681
y,olavo,182.26245879066119
y,bilac,182.26245879066119
y,24,180.10591752073492
y,tornar,179.31384035031442
y,conte,179.31384035031442
y,realidade,179.31384035031442
y,cama,177.22961026930398
y,massot,176.45728977488034
y,elevador,175.5403215640108
y,goretti,174.61751774123695
y,maria,174.61751774123695
y,perimetral,173.34984655876178
y,135,172.05134784249822
y,guaiba,170.61877566862677
y,montada,168.70220503569726
y,ambientes,164.49838241880934
y,brito,163.87613077068818
y,saturnino,163.87613077068818
y,cozinha,163.64482893396053
y,medeiros,161.12591601657186
y,supermercado,159.49486382036412
y,teto,156.7098069027852
y,bocas,156.0618544293102
y,museu,155.37065664760303
y,churrasqueira,150.71561689183
y,frente,149.3847009310266
y,box,147.01860766231403
